date,portfolio_value,cash,positions_value
2024-01-01,100000.0,0.0,100000.0
2024-01-02,97332.54297586442,0.0,97332.54297586442
2024-01-03,97884.15980626245,0.0,97884.15980626245
2024-01-04,98584.24543239734,0.0,98584.24543239734
2024-01-07,101443.57043619765,0.0,101443.57043619765
2024-01-08,101598.79927406178,0.0,101598.79927406178
2024-01-09,102114.84104120819,0.0,102114.84104120819
2024-01-10,101832.12593877205,0.0,101832.12593877205
2024-01-11,101021.58449565088,0.0,101021.58449565088
2024-01-15,101009.33151492079,0.0,101009.33151492079
2024-01-16,100080.20640870446,0.0,100080.20640870446
2024-01-17,100715.09498393006,0.0,100715.09498393006
2024-01-18,103284.66083391858,0.0,103284.66083391858
2024-01-21,104261.2786422801,0.0,104261.2786422801
2024-01-22,104292.85657481146,0.0,104292.85657481146
2024-01-23,103893.3562776677,0.0,103893.3562776677
2024-01-24,104252.42379814532,0.0,104252.42379814532
2024-01-25,103832.33036803873,0.0,103832.33036803873
2024-01-28,106540.33638586383,0.0,106540.33638586383
2024-01-29,105325.13951621318,0.0,105325.13951621318
2024-01-30,103317.38463505084,0.0,103317.38463505084
2024-01-31,105070.59201717061,0.0,105070.59201717061
2024-02-01,107021.90883257582,326.2194604749493,106695.68937210087
2024-02-04,106056.96158802412,326.2194604749493,105730.74212754917
2024-02-05,107563.8248183589,326.2194604749493,107237.60535788395
2024-02-06,108812.06212114896,326.2194604749493,108485.84266067401
2024-02-07,110691.39304726971,326.2194604749493,110365.17358679476
2024-02-08,112215.64996035153,326.2194604749493,111889.43049987657
2024-02-11,112924.67936119055,326.2194604749493,112598.45990071559
2024-02-12,109691.98476821183,326.2194604749493,109365.76530773687
2024-02-13,113400.337482941,326.2194604749493,113074.11802246605
2024-02-14,115061.30639591308,326.2194604749493,114735.08693543813
2024-02-15,113216.65083600623,326.2194604749493,112890.43137553128
2024-02-19,111013.43096252788,326.2194604749493,110687.21150205293
2024-02-20,109436.67913683722,326.2194604749493,109110.45967636227
2024-02-21,112649.15996973573,326.2194604749493,112322.94050926078
2024-02-22,111551.02361332634,326.2194604749493,111224.80415285139
2024-02-25,113130.03971829258,326.2194604749493,112803.82025781763
2024-02-26,114668.84956650175,326.2194604749493,114342.6301060268
2024-02-27,114343.37424866318,326.2194604749493,114017.15478818823
2024-02-28,117294.26680840988,326.2194604749493,116968.04734793493
2024-02-29,119211.78950261451,326.2194604749493,118885.57004213956
2024-03-03,120981.26913393583,2161.082344359209,118820.18678957662
2024-03-04,117973.47678008622,2161.082344359209,115812.39443572701
2024-03-05,119572.0412779704,2161.082344359209,117410.9589336112
2024-03-06,121187.08053461894,2161.082344359209,119025.99819025974
2024-03-07,120192.53332227538,2161.082344359209,118031.45097791617
2024-03-10,119090.075891345,2161.082344359209,116928.99354698579
2024-03-11,119845.5686775418,2161.082344359209,117684.48633318259
2024-03-12,119416.89814068303,2161.082344359209,117255.81579632382
2024-03-13,117343.84327391374,2161.082344359209,115182.76092955453
2024-03-14,116696.58020848884,2161.082344359209,114535.49786412963
2024-03-17,117868.52573901531,2161.082344359209,115707.4433946561
2024-03-18,117327.4627125709,2161.082344359209,115166.38036821168
2024-03-19,120442.53145924397,2161.082344359209,118281.44911488476
2024-03-20,121843.03350124981,2161.082344359209,119681.9511568906
2024-03-21,121035.2228746554,2161.082344359209,118874.1405302962
2024-03-24,121771.19425340282,2161.082344359209,119610.11190904361
2024-03-25,121791.60043758761,2161.082344359209,119630.5180932284
2024-03-26,121839.0562946504,2161.082344359209,119677.9739502912
2024-03-27,121966.19487034885,2161.082344359209,119805.11252598964
2024-03-31,121981.42398225982,2161.082344359209,119820.34163790061
2024-04-01,120574.43191292559,321.7572049432274,120252.67470798237
2024-04-02,121148.75795870143,321.7572049432274,120827.00075375821
2024-04-03,118993.00811870667,321.7572049432274,118671.25091376345
2024-04-04,120232.48853066238,321.7572049432274,119910.73132571916
2024-04-07,120571.1000199625,321.7572049432274,120249.34281501928
2024-04-08,120375.60437570876,321.7572049432274,120053.84717076554
2024-04-09,118945.76020293726,321.7572049432274,118624.00299799404
2024-04-10,120236.08894444557,321.7572049432274,119914.33173950235
2024-04-11,117222.24620389068,321.7572049432274,116900.48899894746
2024-04-14,114242.08412500386,321.7572049432274,113920.32692006064
2024-04-15,114689.80364243063,321.7572049432274,114368.04643748741
2024-04-16,113896.03343756008,321.7572049432274,113574.27623261686
2024-04-17,113606.18241444131,321.7572049432274,113284.42520949809
2024-04-18,110789.26084740419,321.7572049432274,110467.50364246097
2024-04-21,111940.01899020124,321.7572049432274,111618.26178525802
2024-04-22,114617.96152005129,321.7572049432274,114296.20431510807
2024-04-23,114643.89781453638,321.7572049432274,114322.14060959316
2024-04-24,115486.92058634231,321.7572049432274,115165.16338139909
2024-04-25,118409.7806747334,321.7572049432274,118088.02346979018
2024-04-28,119517.1106717157,321.7572049432274,119195.35346677247
2024-04-29,116533.65551332835,321.7572049432274,116211.89830838513
2024-04-30,115674.15891114104,321.7572049432274,115352.40170619782
2024-05-01,119225.67428013285,3.183231456205249e-11,119225.67428013282
2024-05-02,120747.06511968555,3.183231456205249e-11,120747.06511968552
2024-05-05,123052.69742174272,3.183231456205249e-11,123052.69742174269
2024-05-06,122640.57544088071,3.183231456205249e-11,122640.57544088068
2024-05-07,121505.41051258877,3.183231456205249e-11,121505.41051258874
2024-05-08,123669.49595782105,3.183231456205249e-11,123669.49595782103
2024-05-09,121877.08488602286,3.183231456205249e-11,121877.08488602283
2024-05-12,123912.06888374666,3.183231456205249e-11,123912.06888374663
2024-05-13,127249.71493658768,3.183231456205249e-11,127249.71493658765
2024-05-14,128467.10573699849,3.183231456205249e-11,128467.10573699846
2024-05-15,126824.03767242131,3.183231456205249e-11,126824.03767242128
2024-05-16,126971.08804561375,3.183231456205249e-11,126971.08804561372
2024-05-19,130295.47566655777,3.183231456205249e-11,130295.47566655774
2024-05-20,128865.8571760512,3.183231456205249e-11,128865.85717605117
2024-05-21,127886.44141770307,3.183231456205249e-11,127886.44141770304
2024-05-22,123731.1500728205,3.183231456205249e-11,123731.15007282047
2024-05-23,127078.70908420013,3.183231456205249e-11,127078.7090842001
2024-05-27,127500.72754740155,3.183231456205249e-11,127500.72754740152
2024-05-28,126109.9394593869,3.183231456205249e-11,126109.93945938686
2024-05-29,126811.40616480095,3.183231456205249e-11,126811.40616480092
2024-05-30,127468.27299271405,3.183231456205249e-11,127468.27299271402
2024-06-02,127014.39516016336,5.820766091346741e-11,127014.3951601633
2024-06-03,125573.61656212654,5.820766091346741e-11,125573.61656212648
2024-06-04,128619.72089288587,5.820766091346741e-11,128619.72089288582
2024-06-05,128398.48345551547,5.820766091346741e-11,128398.48345551541
2024-06-06,127523.8957134028,5.820766091346741e-11,127523.89571340274
2024-06-09,128717.20251569629,5.820766091346741e-11,128717.20251569623
2024-06-10,128726.63603600633,5.820766091346741e-11,128726.63603600627
2024-06-11,130087.99102377909,5.820766091346741e-11,130087.99102377903
2024-06-12,129817.70423407515,5.820766091346741e-11,129817.70423407509
2024-06-13,129034.90308249308,5.820766091346741e-11,129034.90308249302
2024-06-16,130453.2067684035,5.820766091346741e-11,130453.20676840344
2024-06-17,131389.1446153563,5.820766091346741e-11,131389.14461535623
2024-06-19,130482.83441131627,5.820766091346741e-11,130482.83441131622
2024-06-20,130332.83266879874,5.820766091346741e-11,130332.83266879868
2024-06-23,129836.35413706602,5.820766091346741e-11,129836.35413706597
2024-06-24,131668.3441312165,5.820766091346741e-11,131668.34413121644
2024-06-25,131672.72554170428,5.820766091346741e-11,131672.72554170422
2024-06-26,132526.44245772075,5.820766091346741e-11,132526.4424577207
2024-06-27,131531.91653392237,5.820766091346741e-11,131531.9165339223
2024-06-30,131812.24688665633,5.820766091346741e-11,131812.24688665627
2024-07-01,132725.2469825036,1.318344114617048,132723.92863838898
2024-07-02,134429.693227567,1.318344114617048,134428.3748834524
2024-07-04,134844.39988464434,1.318344114617048,134843.08154052973
2024-07-07,135042.77525585744,1.318344114617048,135041.45691174283
2024-07-08,134518.28865645977,1.318344114617048,134516.97031234516
2024-07-09,135610.1298980005,1.318344114617048,135608.8115538859
2024-07-10,136396.60494961444,1.318344114617048,136395.28660549983
2024-07-11,137834.16122861934,1.318344114617048,137832.84288450473
2024-07-14,138024.00139449284,1.318344114617048,138022.68305037823
2024-07-15,140083.95166412814,1.318344114617048,140082.63332001353
2024-07-16,134844.03619589322,1.318344114617048,134842.7178517786
2024-07-17,133127.51784893774,1.318344114617048,133126.19950482313
2024-07-18,133262.8675905722,1.318344114617048,133261.54924645758
2024-07-21,134882.7696374941,1.318344114617048,134881.45129337948
2024-07-22,134807.3645670451,1.318344114617048,134806.04622293048
2024-07-23,129145.35091287027,1.318344114617048,129144.03256875566
2024-07-24,128015.54518882508,1.318344114617048,128014.22684471047
2024-07-25,130624.79245857618,1.318344114617048,130623.47411446157
2024-07-28,129845.00628458773,1.318344114617048,129843.68794047312
2024-07-29,128490.41261046768,1.318344114617048,128489.09426635307
2024-07-30,132423.57958233677,1.318344114617048,132422.26123822216
2024-07-31,128224.59623513745,1.318344114617048,128223.27789102284
2024-08-01,121780.6102363496,8.003553375601768e-11,121780.61023634952
2024-08-04,117526.89078506437,8.003553375601768e-11,117526.89078506429
2024-08-05,119716.88647780099,8.003553375601768e-11,119716.8864778009
2024-08-06,116218.66642694885,8.003553375601768e-11,116218.66642694877
2024-08-07,122023.82716474458,8.003553375601768e-11,122023.82716474449
2024-08-08,123153.43573356475,8.003553375601768e-11,123153.43573356466
2024-08-11,121427.55698733596,8.003553375601768e-11,121427.55698733588
2024-08-12,124531.16882268555,8.003553375601768e-11,124531.16882268546
2024-08-13,123626.49103523014,8.003553375601768e-11,123626.49103523005
2024-08-14,129626.4386620206,8.003553375601768e-11,129626.43866202052
2024-08-15,130511.32343666762,8.003553375601768e-11,130511.32343666753
2024-08-18,134918.25117247953,8.003553375601768e-11,134918.25117247945
2024-08-19,132843.23805690007,8.003553375601768e-11,132843.23805689998
2024-08-20,136357.6438167314,8.003553375601768e-11,136357.64381673132
2024-08-21,133823.0272561313,8.003553375601768e-11,133823.0272561312
2024-08-22,138139.19852601225,8.003553375601768e-11,138139.19852601216
2024-08-25,137454.10541642006,8.003553375601768e-11,137454.10541641997
2024-08-26,135142.44514710852,8.003553375601768e-11,135142.44514710843
2024-08-27,131403.0909684008,8.003553375601768e-11,131403.0909684007
2024-08-28,133839.72562431157,8.003553375601768e-11,133839.72562431148
2024-08-29,134522.27862252525,8.003553375601768e-11,134522.27862252516
2024-09-02,128167.5050615525,1.0277290130034089e-10,128167.5050615524
2024-09-03,127662.49405393215,1.0277290130034089e-10,127662.49405393205
2024-09-04,127319.95495313684,1.0277290130034089e-10,127319.95495313674
2024-09-05,123932.94695658227,1.0277290130034089e-10,123932.94695658216
2024-09-08,126431.09453233941,1.0277290130034089e-10,126431.09453233931
2024-09-09,127145.44145298908,1.0277290130034089e-10,127145.44145298898
2024-09-10,130606.48706789203,1.0277290130034089e-10,130606.48706789193
2024-09-11,132265.88049225736,1.0277290130034089e-10,132265.88049225725
2024-09-12,134615.85072848928,1.0277290130034089e-10,134615.85072848917
2024-09-15,134985.73440819344,1.0277290130034089e-10,134985.73440819333
2024-09-16,135753.94830971517,1.0277290130034089e-10,135753.94830971505
2024-09-17,135490.36658043208,1.0277290130034089e-10,135490.36658043196
2024-09-18,138446.05325613436,1.0277290130034089e-10,138446.05325613424
2024-09-19,139740.35152411117,1.0277290130034089e-10,139740.35152411106
2024-09-22,140699.98614189052,1.0277290130034089e-10,140699.9861418904
2024-09-23,141398.40152289445,1.0277290130034089e-10,141398.40152289433
2024-09-24,141305.58789451688,1.0277290130034089e-10,141305.58789451676
2024-09-25,142536.70426480964,1.0277290130034089e-10,142536.70426480952
2024-09-26,142798.60513087528,1.0277290130034089e-10,142798.60513087516
2024-09-29,141930.7447698621,1.0277290130034089e-10,141930.74476986198
2024-09-30,139487.37598010732,1.0277290130034089e-10,139487.3759801072
2024-10-01,140024.2752379883,2.794033681232122,140021.48120430706
2024-10-02,139557.91126759793,2.794033681232122,139555.11723391668
2024-10-03,142168.40705903765,2.794033681232122,142165.6130253564
2024-10-06,141819.7648479513,2.794033681232122,141816.97081427005
2024-10-07,143801.07726065646,2.794033681232122,143798.2832269752
2024-10-08,144509.67914455882,2.794033681232122,144506.88511087757
2024-10-09,144507.26331917164,2.794033681232122,144504.4692854904
2024-10-10,147026.78864789105,2.794033681232122,147023.9946142098
2024-10-13,148340.49548093486,2.794033681232122,148337.7014472536
2024-10-14,145928.4128053761,2.794033681232122,145925.61877169486
2024-10-15,147361.16131999847,2.794033681232122,147358.36728631723
2024-10-16,146487.42898241468,2.794033681232122,146484.63494873344
2024-10-17,147716.73299608807,2.794033681232122,147713.93896240683
2024-10-20,147185.18359651702,2.794033681232122,147182.38956283577
2024-10-21,146835.8287817243,2.794033681232122,146833.03474804305
2024-10-22,145097.80991863186,2.794033681232122,145095.0158849506
2024-10-23,147444.9178557005,2.794033681232122,147442.12382201926
2024-10-24,147916.34772087887,2.794033681232122,147913.55368719762
2024-10-27,149612.81540431431,2.794033681232122,149610.02137063307
2024-10-28,150616.88465230665,2.794033681232122,150614.0906186254
2024-10-29,148079.50971934962,2.794033681232122,148076.71568566837
2024-10-30,143177.51779821524,2.794033681232122,143174.723764534
2024-10-31,143335.15429838572,2.794033681232122,143332.36026470448
2024-11-03,142664.1394977244,114.66985542956081,142549.46964229483
2024-11-04,146964.2959071396,114.66985542956081,146849.62605171005
2024-11-05,150413.90051698795,114.66985542956081,150299.2306615584
2024-11-06,155547.46336569462,114.66985542956081,155432.79351026507
2024-11-07,157483.7000006835,114.66985542956081,157369.03014525393
2024-11-10,159628.90962220368,114.66985542956081,159514.23976677412
2024-11-11,157621.31304411127,114.66985542956081,157506.64318868172
2024-11-12,156351.5520464861,114.66985542956081,156236.88219105653
2024-11-13,154272.24256544453,114.66985542956081,154157.57271001497
2024-11-14,152018.66232136247,114.66985542956081,151903.9924659329
2024-11-17,154881.19120884905,114.66985542956081,154766.5213534195
2024-11-18,159816.67036487322,114.66985542956081,159702.00050944366
2024-11-19,160221.3216952499,114.66985542956081,160106.65183982035
2024-11-20,162569.81268396316,114.66985542956081,162455.1428285336
