date,portfolio_value,cash,positions_value
2015-01-01,100000.0,2.2737367544323206e-13,100000.0
2015-01-04,97751.34133722114,2.2737367544323206e-13,97751.34133722114
2015-01-05,96313.99826542875,2.2737367544323206e-13,96313.99826542875
2015-01-06,97559.99396568052,2.2737367544323206e-13,97559.99396568052
2015-01-07,99312.7128059219,2.2737367544323206e-13,99312.7128059219
2015-01-08,99087.1055600551,2.2737367544323206e-13,99087.1055600551
2015-01-11,97957.52477373774,2.2737367544323206e-13,97957.52477373774
2015-01-12,97765.78100849348,2.2737367544323206e-13,97765.78100849348
2015-01-13,97381.74690491147,2.2737367544323206e-13,97381.74690491147
2015-01-14,96057.54340197948,2.2737367544323206e-13,96057.54340197948
2015-01-15,98073.75659282411,2.2737367544323206e-13,98073.75659282411
2015-01-19,98609.24502094089,2.2737367544323206e-13,98609.24502094089
2015-01-20,99243.15253556138,2.2737367544323206e-13,99243.15253556138
2015-01-21,100930.56473462397,2.2737367544323206e-13,100930.56473462397
2015-01-22,100834.05855914358,2.2737367544323206e-13,100834.05855914358
2015-01-25,101718.90890088413,2.2737367544323206e-13,101718.90890088413
2015-01-26,100788.61553527095,2.2737367544323206e-13,100788.61553527095
2015-01-27,98827.15000249572,2.2737367544323206e-13,98827.15000249572
2015-01-28,99464.6061934598,2.2737367544323206e-13,99464.6061934598
2015-01-29,99014.55763599384,2.2737367544323206e-13,99014.55763599384
2015-02-01,100255.69887233355,166.01872423981104,100089.68014809374
2015-02-02,102058.75834379347,166.01872423981104,101892.73961955366
2015-02-03,101135.55314349386,166.01872423981104,100969.53441925405
2015-02-04,103081.9229531508,166.01872423981104,102915.904228911
2015-02-05,102579.58941340195,166.01872423981104,102413.57068916214
2015-02-08,102660.07947972983,166.01872423981104,102494.06075549002
2015-02-09,103728.54506546336,166.01872423981104,103562.52634122355
2015-02-10,103691.14189647234,166.01872423981104,103525.12317223253
2015-02-11,105597.57272920109,166.01872423981104,105431.55400496128
2015-02-12,107191.84785624818,166.01872423981104,107025.82913200837
2015-02-16,108650.37679303311,166.01872423981104,108484.3580687933
2015-02-17,107930.85430126569,166.01872423981104,107764.83557702588
2015-02-18,107665.82236333302,166.01872423981104,107499.80363909321
2015-02-19,108863.52183397517,166.01872423981104,108697.50310973536
2015-02-22,108086.82224361201,166.01872423981104,107920.8035193722
2015-02-23,108119.54099872327,166.01872423981104,107953.52227448346
2015-02-24,108359.83238589932,166.01872423981104,108193.81366165951
2015-02-25,108779.84297477333,166.01872423981104,108613.82425053352
2015-02-26,108097.56009315621,166.01872423981104,107931.5413689164
2015-03-01,108514.61715345574,260.1753419321967,108254.44181152355
2015-03-02,108270.54331665172,260.1753419321967,108010.36797471953
2015-03-03,107703.97420167291,260.1753419321967,107443.79885974072
2015-03-04,107766.08137504962,260.1753419321967,107505.90603311743
2015-03-05,105656.2381087132,260.1753419321967,105396.062766781
2015-03-08,105562.50274117054,260.1753419321967,105302.32739923835
2015-03-09,103894.59965451578,260.1753419321967,103634.4243125836
2015-03-10,104014.21199632839,260.1753419321967,103754.0366543962
