ticker,current_shares,target_shares,trade_shares,price,trade_value,target_weight
RXST,0,169.62499849392987,169.62499849392987,100.0,16962.499849392985,0.16962499849392987
SRPT,0,169.62499849392987,169.62499849392987,100.0,16962.499849392985,0.16962499849392987
HBM,0,94.50839138496514,94.50839138496514,100.0,9450.839138496514,0.09450839138496514
CVNA,0,93.63698539073202,93.63698539073202,100.0,9363.698539073202,0.09363698539073202
AMBP,0,90.99972824794091,90.99972824794091,100.0,9099.972824794091,0.09099972824794092
UDMY,0,83.8628650042118,83.8628650042118,100.0,8386.28650042118,0.08386286500421179
IAG,0,31.574723414592818,31.574723414592818,100.0,3157.472341459282,0.03157472341459282
O,0,20.315038490877775,20.315038490877775,100.0,2031.5038490877776,0.020315038490877776
NAKA,0,19.3411331943796,19.3411331943796,100.0,1934.1133194379602,0.019341133194379603
WEN,0,19.321468392897003,19.321468392897003,100.0,1932.1468392897004,0.019321468392897
GEF.B,0,19.28522247345478,19.28522247345478,100.0,1928.522247345478,0.01928522247345478
THG,0,19.209334159378532,19.209334159378532,100.0,1920.9334159378532,0.019209334159378533
SMA,0,18.948443790994425,18.948443790994425,100.0,1894.8443790994424,0.018948443790994425
QS,0,18.654247428903883,18.654247428903883,100.0,1865.4247428903882,0.018654247428903883
OWLS,0,15.149018681213152,15.149018681213152,100.0,1514.9018681213151,0.015149018681213152
KHC,0,7.032301570132481,7.032301570132481,100.0,703.2301570132481,0.007032301570132481
VRNT,0,6.422922578655804,6.422922578655804,100.0,642.2922578655804,0.006422922578655804
EMBC,0,5.993113650813957,5.993113650813957,100.0,599.3113650813957,0.005993113650813957
MAX,0,4.5971185087557735,4.5971185087557735,100.0,459.71185087557734,0.0045971185087557735
BBBY,0,4.266428600485192,4.266428600485192,100.0,426.6428600485192,0.004266428600485191
UVSP,0,3.966321976621935,3.966321976621935,100.0,396.6321976621935,0.003966321976621935
VNOM,0,3.909551473546817,3.909551473546817,100.0,390.9551473546817,0.003909551473546817
MLTX,0,3.890134693741014,3.890134693741014,100.0,389.0134693741014,0.0038901346937410142
PEB,0,3.824550732482138,3.824550732482138,100.0,382.4550732482138,0.003824550732482138
JXN,0,3.6446631379107726,3.6446631379107726,100.0,364.46631379107725,0.0036446631379107725
STEP,0,3.3992358152458193,3.3992358152458193,100.0,339.92358152458195,0.0033992358152458197
COLB,0,3.3658437248426663,3.3658437248426663,100.0,336.5843724842666,0.0033658437248426662
GCI,0,3.2453958284143045,3.2453958284143045,100.0,324.53958284143044,0.0032453958284143045
FMBH,0,3.0586426146877828,3.0586426146877828,100.0,305.8642614687783,0.003058642614687783
CSV,0,2.914399052559533,2.914399052559533,100.0,291.4399052559533,0.002914399052559533
CMRE,0,2.9125228949550364,2.9125228949550364,100.0,291.25228949550365,0.0029125228949550366
PFIS,0,2.875521654721615,2.875521654721615,100.0,287.5521654721615,0.002875521654721615
MATV,0,2.7810577808580006,2.7810577808580006,100.0,278.10577808580007,0.0027810577808580006
NYT,0,2.7637085065904654,2.7637085065904654,100.0,276.37085065904654,0.0027637085065904655
ACIW,0,2.731059691339752,2.731059691339752,100.0,273.1059691339752,0.0027310596913397516
AMCX,0,2.669965001418695,2.669965001418695,100.0,266.9965001418695,0.002669965001418695
DBD,0,2.6392359845293027,2.6392359845293027,100.0,263.92359845293026,0.0026392359845293025
CCBG,0,2.6284889051200704,2.6284889051200704,100.0,262.848890512007,0.00262848890512007
HDSN,0,2.616939112242542,2.616939112242542,100.0,261.6939112242542,0.002616939112242542
GNK,0,2.615310581375866,2.615310581375866,100.0,261.5310581375866,0.0026153105813758663
HSHP,0,2.6032047144204244,2.6032047144204244,100.0,260.32047144204245,0.0026032047144204243
XMTR,0,2.596578625754086,2.596578625754086,100.0,259.6578625754086,0.002596578625754086
IBKR,0,2.554525918550806,2.554525918550806,100.0,255.4525918550806,0.002554525918550806
CVE,0,2.550715152373396,2.550715152373396,100.0,255.0715152373396,0.002550715152373396
ECVT,0,2.5217011579863766,2.5217011579863766,100.0,252.17011579863765,0.002521701157986377
DOMO,0,2.496897213081293,2.496897213081293,100.0,249.68972130812932,0.002496897213081293
EQBK,0,2.470876461191797,2.470876461191797,100.0,247.08764611917968,0.002470876461191797
EWBC,0,2.4691628209758387,2.4691628209758387,100.0,246.91628209758386,0.0024691628209758385
TRMK,0,2.4625250816097144,2.4625250816097144,100.0,246.25250816097144,0.0024625250816097143
AAP,0,2.452781739607455,2.452781739607455,100.0,245.2781739607455,0.0024527817396074554
