ticker,predicted_return,target_weight
RXST,70.34818,0.16962499849392987
SRPT,51.810596,0.16962499849392987
HBM,11.149234,0.09450839138496514
CVNA,11.046433,0.09363698539073202
AMBP,10.735314,0.09099972824794092
UDMY,9.893373,0.08386286500421179
IAG,3.7248967,0.03157472341459282
O,2.3965821,0.020315038490877776
NAKA,2.2816896,0.019341133194379603
WEN,2.2793698,0.019321468392897
GEF.B,2.2750938,0.01928522247345478
THG,2.2661412,0.019209334159378533
SMA,2.2353637,0.018948443790994425
QS,2.2006571,0.018654247428903883
OWLS,1.7871425,0.015149018681213152
KHC,0.8296065,0.007032301570132481
VRNT,0.75771755,0.006422922578655804
EMBC,0.70701265,0.005993113650813957
MAX,0.5423259,0.0045971185087557735
BBBY,0.50331414,0.004266428600485191
UVSP,0.46791035,0.003966321976621935
VNOM,0.46121308,0.003909551473546817
MLTX,0.45892245,0.0038901346937410142
PEB,0.45118546,0.003824550732482138
JXN,0.42996395,0.0036446631379107725
STEP,0.4010107,0.0033992358152458197
COLB,0.39707142,0.0033658437248426662
GCI,0.38286206,0.0032453958284143045
FMBH,0.36083063,0.003058642614687783
CSV,0.3438141,0.002914399052559533
CMRE,0.34359276,0.0029125228949550366
PFIS,0.3392277,0.002875521654721615
MATV,0.32808372,0.0027810577808580006
NYT,0.32603702,0.0027637085065904655
ACIW,0.3221854,0.0027310596913397516
AMCX,0.314978,0.002669965001418695
DBD,0.31135288,0.0026392359845293025
CCBG,0.31008503,0.00262848890512007
HDSN,0.3087225,0.002616939112242542
GNK,0.3085304,0.0026153105813758663
HSHP,0.30710223,0.0026032047144204243
XMTR,0.30632055,0.002596578625754086
IBKR,0.30135956,0.002554525918550806
CVE,0.30091,0.002550715152373396
ECVT,0.2974872,0.002521701157986377
DOMO,0.29456106,0.002496897213081293
EQBK,0.29149136,0.002470876461191797
EWBC,0.2912892,0.0024691628209758385
TRMK,0.29050615,0.0024625250816097143
AAP,0.2893567,0.0024527817396074554
